Name,Score,Episodes,Air Date,Source,Studio,id,Genre
Ouran High School Host Club,8.22,26,"Apr 5, 2006 to Sep 27, 2006",Funimation,Bones,853,"['Comedy', 'Harem', 'Romance', 'School', 'Shoujo']"
Code Geass: Lelouch of the Rebellion R2,8.91,25,"Apr 6, 2008 to Sep 28, 2008","Funimation,       Bandai Entertainment",Sunrise,2904,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']"
FLCL,8.03,6,"Apr 26, 2000 to Mar 16, 2001",Original,Production I.G,227,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Dementia', 'Psychological', 'Mecha']"
One Piece,8.48,Unknown,"Oct 20, 1999 to ?","Funimation,       4Kids Entertainment",Toei Animation,21,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']"
Steins;Gate: Egoistic Poriomania,8.37,1,"Feb 22, 2012",Visual novel,White Fox,10863,"['Sci-Fi', 'Comedy', 'Thriller']"
Bungou Stray Dogs 3rd Season,8.17,12,"Apr 12, 2019 to Jun 28, 2019","None found, add some",Bones,38003,"['Action', 'Mystery', 'Seinen', 'Super Power', 'Supernatural']"
Big Windup!,7.97,25,"Apr 13, 2007 to Sep 28, 2007",Funimation,A-1 Pictures,2159,"['Comedy', 'Seinen', 'Sports']"
Haikyuu!!: To the Top,8.46,13,"Jan 11, 2020 to Apr 4, 2020","None found, add some",Production I.G,38883,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']"
Sailor Moon S,7.85,38,"Mar 19, 1994 to Feb 25, 1995","Viz Media,       Geneon Entertainment USA",Toei Animation,532,"['Drama', 'Magic', 'Romance', 'Shoujo']"
Honey and Clover,8.08,24,"Apr 15, 2005 to Sep 27, 2005","Viz Media,       Discotek Media",J.C.Staff,16,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']"
Black Lagoon,8.07,12,"Apr 9, 2006 to Jun 25, 2006","Funimation,       Geneon Entertainment USA",Madhouse,889,"['Action', 'Seinen']"
Broken Blade 5,7.85,1,"Jan 22, 2011",Manga,Xebec,9724,"['Action', 'Military', 'Fantasy', 'Mecha', 'Shounen']"
Hidamari Sketch: Sae Hiro Sotsugyou-hen,8.10,2,"Nov 27, 2013",4-koma manga,Shaft,17739,"['Slice of Life', 'Comedy', 'School', 'Seinen']"
anohana: The Flower We Saw That Day,8.46,11,"Apr 15, 2011 to Jun 24, 2011","NIS America, Inc.,       Aniplex of America",A-1 Pictures,9989,"['Slice of Life', 'Supernatural', 'Drama']"
Mr. Osomatsu,8.04,25,"Oct 6, 2015 to Mar 29, 2016",Viz Media,Studio Pierrot,31174,"['Comedy', 'Parody']"
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,8.12,1,"Oct 27, 2016",Light novel,feel.,33161,"['Comedy', 'Romance', 'School']"
Aoki Hagane no Arpeggio: Ars Nova Cadenza,7.91,1,"Oct 3, 2015",Manga,SANZIGEN,24921,"['Action', 'Sci-Fi', 'Seinen']"
Attack on Titan Season 3 Part 2,9.07,10,"Apr 29, 2019 to Jul 1, 2019",Funimation,Wit Studio,38524,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']"
Saiyuuki Gaiden,7.84,3,"Mar 25, 2011 to Nov 25, 2011",Manga,Sentai Filmworks,9088,"['Action', 'Adventure', 'Drama', 'Fantasy']"
Ghost in the Shell: Stand Alone Complex - Solid State Society,8.15,1,"Sep 1, 2006",Manga,Production I.G,1566,"['Military', 'Sci-Fi', 'Mystery', 'Police', 'Mecha', 'Seinen']"
Macross F Movie 2: Sayonara no Tsubasa,7.98,1,"Feb 26, 2011",Original,8bit,7222,"['Action', 'Mecha', 'Military', 'Music', 'Romance', 'Sci-Fi', 'Space']"
Sekaiichi Hatsukoi OVA,7.99,2,"Mar 22, 2011 to Sep 27, 2011",Manga,Studio Deen,8063,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']"
Little Witch Academia,7.87,1,"Mar 2, 2013",Original,Trigger,14349,"['Adventure', 'Comedy', 'Magic', 'Fantasy', 'School']"
Date A Live II: Kurumi Star Festival,7.93,1,"Dec 8, 2014",Light novel,Production IMS,22961,"['Slice of Life', 'Romance']"
Haikyuu!! Movie 2: Shousha to Haisha,7.94,1,"Sep 18, 2015",Manga,Production I.G,30364,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']"
Tokyo Godfathers,8.29,1,"Nov 8, 2003",Original,Madhouse,759,"['Comedy', 'Drama']"
Mitsudomoe Zouryouchuu!,7.73,8,"Jan 9, 2011 to Feb 27, 2011","None found, add some",Bridge,9510,"['Slice of Life', 'Comedy', 'School']"
"Love, Chunibyo & Other Delusions!",7.79,12,"Oct 4, 2012 to Dec 20, 2012",Sentai Filmworks,Kyoto Animation,14741,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']"
Banner of the Stars,7.73,13,"Apr 14, 2000 to Jul 14, 2000","Funimation,       Bandai Entertainment",Sunrise,396,"['Action', 'Military', 'Romance', 'Sci-Fi', 'Space']"
