Name,Score,Episodes,Air Date,Source,Studio,id,Genre
Fullmetal Alchemist: Brotherhood,9.22,64,"Apr 5, 2009 to Jul 4, 2010","Funimation,       Aniplex of America",Bones,5114,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']"
Baccano!,8.42,13,"Jul 27, 2007 to Nov 2, 2007","Funimation,       Aniplex of America",Brain's Base,2251,"['Action', 'Comedy', 'Historical', 'Mystery', 'Supernatural']"
Hikaru no Go,8.12,75,"Oct 10, 2001 to Mar 26, 2003",Viz Media,Studio Pierrot,135,"['Comedy', 'Game', 'Shounen', 'Supernatural']"
Little Busters! ~Refrain~,8.25,13,"Oct 5, 2013 to Dec 28, 2013",Sentai Filmworks,J.C.Staff,18195,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'School']"
Usagi Drop Specials,8.00,4,"Oct 28, 2011 to Jan 27, 2012",Manga,Production I.G,11113,"['Josei', 'Slice of Life']"
Kamisama Kiss Season 2,8.18,12,"Jan 6, 2015 to Mar 31, 2015",Funimation,TMS Entertainment,25681,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy', 'Shoujo']"
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,8.21,4,"Nov 29, 2019",Novel,Production I.G,36371,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']"
Hyouka,8.15,22,"Apr 23, 2012 to Sep 17, 2012",Funimation,Kyoto Animation,12189,"['Mystery', 'School', 'Slice of Life']"
Gunbuster 2,7.69,6,"Oct 3, 2004 to Aug 25, 2006",Original,Gainax,1002,"['Action', 'Sci-Fi', 'Space', 'Comedy', 'Drama', 'Mecha']"
Tamako Love Story,8.02,1,"Apr 26, 2014",Original,Kyoto Animation,21647,"['Comedy', 'Romance', 'Slice of Life']"
The Demon Girl Next Door,7.71,12,"Jul 12, 2019 to Sep 27, 2019",Sentai Filmworks,J.C.Staff,39071,"['Slice of Life', 'Comedy', 'Magic']"
Spirited Away,8.85,1,"Jul 20, 2001",Original,Studio Ghibli,199,"['Adventure', 'Supernatural', 'Drama']"
Magical Girl Lyrical Nanoha: The Movie 2nd A's,8.19,1,"Jul 14, 2012",Original,Seven Arcs,10153,"['Action', 'Magic', 'Comedy', 'Sci-Fi', 'Drama']"
Cowboy Bebop: The Movie,8.39,1,"Sep 1, 2001",Original,Bones,5,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']"
Detective Conan Movie 09: Strategy Above the Depths,7.84,1,"Apr 9, 2005",Manga,TMS Entertainment,1505,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']"
The Disastrous Life of Saiki K. Final Arc,8.24,1,"Dec 28, 2018",Manga,Egg Firm,38249,"['Comedy', 'School', 'Shounen', 'Slice of Life', 'Supernatural']"
Junjo Romantica 3,7.84,12,"Jul 9, 2015 to Sep 24, 2015",Funimation,Studio Deen,25649,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']"
Legend of the Galactic Heroes,9.11,110,"Jan 8, 1988 to Mar 17, 1997",Novel,Magic Bus,820,"['Military', 'Sci-Fi', 'Space', 'Drama']"
the Garden of sinners Chapter 2: Murder Speculation Part A,7.87,1,"Dec 29, 2007",Light novel,ufotable,3782,"['Action', 'Mystery', 'Supernatural', 'Romance', 'Thriller']"
From the New World,8.38,25,"Sep 29, 2012 to Mar 23, 2013",Sentai Filmworks,A-1 Pictures,13125,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Sci-Fi', 'Supernatural']"
Yamada-kun and the Seven Witches,7.70,12,"Apr 12, 2015 to Jun 28, 2015","Funimation,       Crunchyroll",LIDENFILMS,28677,"['Comedy', 'Harem', 'Mystery', 'Romance', 'School', 'Shounen', 'Supernatural']"
Made in Abyss Movie 1: Tabidachi no Yoake,8.06,1,"Jan 4, 2019",Web manga,Kinema Citrus,37514,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']"
Chi's New Address,7.77,104,"Mar 30, 2009 to Sep 24, 2009",Discotek Media,Madhouse,6024,"['Comedy', 'Kids', 'Slice of Life']"
Full Metal Panic? Fumoffu,8.09,12,"Aug 26, 2003 to Oct 18, 2003","ADV Films,       Funimation",Kyoto Animation,72,"['Action', 'Comedy', 'School']"
House of Five Leaves,7.83,12,"Apr 16, 2010 to Jul 2, 2010","NIS America, Inc.",Manglobe,7588,"['Mystery', 'Historical', 'Drama', 'Samurai', 'Seinen']"
Karakai Jouzu no Takagi-san 2,8.21,12,"Jul 7, 2019 to Sep 22, 2019","None found, add some",Shin-Ei Animation,38993,"['Slice of Life', 'Comedy', 'Romance', 'School', 'Shounen']"
Detective Conan Movie 17: Private Eye in the Distant Sea,7.73,1,"Apr 20, 2013",Manga,TMS Entertainment,14735,"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']"
Space Brothers,8.53,99,"Apr 1, 2012 to Mar 22, 2014",Sentai Filmworks,A-1 Pictures,12431,"['Comedy', 'Sci-Fi', 'Seinen', 'Slice of Life', 'Space']"
Star Blazers: Space Battleship Yamato 2199,8.39,26,"May 25, 2012 to Oct 25, 2013",Original,AIC,12029,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']"
Terra e... (TV),7.94,24,"Apr 7, 2007 to Sep 22, 2007",Bandai Entertainment,Minami Machi Bugyousho,2158,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']"
My Neighbor Totoro,8.35,1,"Apr 16, 1988",Original,Studio Ghibli,523,"['Adventure', 'Comedy', 'Supernatural']"
Owarimonogatari Second Season,8.93,7,"Aug 12, 2017 to Aug 13, 2017",Aniplex of America,Shaft,35247,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']"
Good Luck Girl!,7.75,13,"Jul 5, 2012 to Sep 27, 2012",Funimation,Sunrise,13535,"['Comedy', 'Parody', 'Shounen', 'Supernatural']"
The World is Still Beautiful,7.70,12,"Apr 6, 2014 to Jun 29, 2014",Sentai Filmworks,Studio Pierrot,22101,"['Adventure', 'Romance', 'Fantasy', 'Shoujo']"
Blood Blockade Battlefront & Beyond,7.92,12,"Oct 8, 2017 to Dec 24, 2017",Funimation,Bones,34451,"['Action', 'Comedy', 'Fantasy', 'Shounen', 'Super Power', 'Supernatural', 'Vampire']"
Moribito - Guardian of the Spirit,8.18,26,"Apr 7, 2007 to Sep 29, 2007","Viz Media,       Media Blasters,       Geneon Entertainment USA",Production I.G,1827,"['Action', 'Adventure', 'Historical', 'Fantasy']"
Black Butler: Book of Circus,8.17,10,"Jul 11, 2014 to Sep 12, 2014",Funimation,A-1 Pictures,22145,"['Action', 'Mystery', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']"
Natsume's Book of Friends,8.34,13,"Jul 8, 2008 to Sep 30, 2008","NIS America, Inc.",Brain's Base,4081,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']"
My Teen Romantic Comedy SNAFU TOO!,8.29,13,"Apr 3, 2015 to Jun 26, 2015",Sentai Filmworks,feel.,23847,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']"
Free! -Take Your Marks-,7.77,1,"Oct 28, 2017",Original,Kyoto Animation,35198,"['School', 'Slice of Life', 'Sports']"
Gintama: The Movie,8.52,1,"Apr 24, 2010",Manga,Sunrise,7472,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']"
Fighting Spirit: Champion Road,8.30,1,"Apr 18, 2003",Manga,Madhouse,264,"['Comedy', 'Shounen', 'Sports']"
Love Live! The School Idol Movie,7.98,1,"Jun 13, 2015",Original,Sunrise,24997,"['Music', 'School', 'Slice of Life']"
Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,7.75,8,"Mar 11, 2016 to May 20, 2016",Manga,Lerche,32863,"['Action', 'Comedy', 'School', 'Shounen']"
Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,7.73,1,"Apr 21, 2007",Light novel,Shaft,2175,"['Adventure', 'Drama', 'Fantasy']"
Tanoshii Muumin Ikka,8.10,78,"Apr 12, 1990 to Oct 3, 1991","None found, add some",Telescreen,2150,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Slice of Life']"
Toshokan Sensou: Kakumei no Tsubasa,7.82,1,"Jun 16, 2012",Novel,Production I.G,11001,"['Action', 'Comedy', 'Military', 'Romance']"
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.49,13,"Jul 8, 2020 to ?","None found, add some",White Fox,39587,"['Drama', 'Fantasy', 'Psychological', 'Thriller']"
Chihayafuru 3,8.56,24,"Oct 23, 2019 to Mar 25, 2020",Sentai Filmworks,Madhouse,37379,"['Game', 'Slice of Life', 'Sports', 'Drama', 'School', 'Josei']"
Cowboy Bebop,8.79,26,"Apr 3, 1998 to Apr 24, 1999","Funimation,       Bandai Entertainment",Sunrise,1,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']"
Master Keaton OVA,7.76,15,"Dec 21, 1999 to Jun 20, 2000",Manga,Madhouse,1910,"['Adventure', 'Drama', 'Historical', 'Mystery', 'Seinen', 'Slice of Life']"
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,8.10,1,"Apr 3, 2015",Manga,Sunrise,25313,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']"
Magi: Sinbad no Bouken,7.88,5,"May 14, 2014 to Jul 15, 2015",Manga,Lay-duce,22097,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']"
The Tatami Galaxy,8.61,11,"Apr 23, 2010 to Jul 2, 2010",Funimation,Madhouse,7785,"['Mystery', 'Comedy', 'Psychological', 'Romance']"
Detroit Metal City: The Animated Series,8.16,12,"Aug 8, 2008 to Oct 28, 2008",Manga,Studio 4°C,3702,"['Music', 'Comedy', 'Seinen']"
Clannad,8.10,23,"Oct 5, 2007 to Mar 28, 2008",Sentai Filmworks,Kyoto Animation,2167,"['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life', 'Supernatural']"
Dragon Ball,8.03,153,"Feb 26, 1986 to Apr 12, 1989",Funimation,Toei Animation,223,"['Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Shounen', 'Super Power']"
Made in Abyss Movie 2: Hourou Suru Tasogare,8.25,1,"Jan 18, 2019",Web manga,Kinema Citrus,37515,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']"
Durarara!! Specials,7.92,2,"Aug 25, 2010 to Feb 23, 2011",Light novel,Brain's Base,8408,"['Action', 'Comedy', 'Supernatural']"
Noragami Aragoto OVA,7.95,2,"Nov 17, 2015 to Mar 17, 2016",Manga,Bones,30885,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']"
K: Missing Kings,7.74,1,"Jul 12, 2014",Original,GoHands,16904,"['Action', 'Super Power', 'Supernatural']"
Aria the Natural,8.22,26,"Apr 3, 2006 to Sep 25, 2006",Nozomi Entertainment,Hal Film Maker,962,"['Sci-Fi', 'Slice of Life', 'Fantasy', 'Shounen']"
Gintama: Shinyaku Benizakura-hen,8.26,1,"Dec 15, 2010",Manga,Sunrise,9735,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
Yowamushi Pedal,8.02,38,"Oct 8, 2013 to Jul 1, 2014",Discotek Media,TMS Entertainment,18179,"['Comedy', 'Sports', 'Drama', 'Shounen']"
xxxHOLiC The Movie: A Midsummer Night's Dream,7.97,1,"Aug 20, 2005",Manga,Production I.G,793,"['Mystery', 'Comedy', 'Psychological', 'Supernatural', 'Drama']"
Junjo Romantica 2,7.92,12,"Oct 12, 2008 to Dec 28, 2008",Nozomi Entertainment,Studio Deen,4814,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']"
Persona 3 the Movie: #2 Midsummer Knight's Dream,7.69,1,"Jun 7, 2014",Game,A-1 Pictures,21473,"['Action', 'Supernatural', 'Fantasy']"
Fate/Zero Season 2,8.61,12,"Apr 8, 2012 to Jun 24, 2012",Aniplex of America,ufotable,11741,"['Action', 'Supernatural', 'Magic', 'Fantasy']"
My Teen Romantic Comedy SNAFU Climax!,8.50,Unknown,"Jul 10, 2020 to ?",Sentai Filmworks,feel.,39547,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']"
BanG Dream! 3rd Season,8.07,13,"Jan 23, 2020 to Apr 23, 2020",Sentai Filmworks,SANZIGEN,37870,['Music']
Sound! Euphonium,8.01,13,"Apr 8, 2015 to Jul 1, 2015",Ponycan USA,Kyoto Animation,27989,"['Music', 'School', 'Drama']"
Fate/kaleid liner Prisma Illya: Vow in the Snow,8.00,1,"Aug 26, 2017",Manga,Silver Link.,34100,"['Action', 'Fantasy', 'Magic']"
Bloom Into You,7.94,13,"Oct 5, 2018 to Dec 28, 2018",Sentai Filmworks,TROYCA,37786,"['Romance', 'School', 'Shoujo Ai']"
Macross: Do You Remember Love?,7.97,1,"Jul 7, 1984",Original,Tatsunoko Production,1089,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Music', 'Sci-Fi']"
Detective Conan Movie 23: The Fist of Blue Sapphire,7.82,1,"Apr 12, 2019",Manga,TMS Entertainment,38770,"['Action', 'Mystery', 'Comedy', 'Police', 'Drama', 'Shounen']"
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,8.00,1,"Mar 15, 2014",Light novel,Studio Deen,20371,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']"
